year	state	acres	yield
1879	NewHampshire	37000	36.9
1879	NewJersey	345000	32.4
1879	NewYork	779000	33
1879	NorthCarolina	2305000	12.2
1879	Ohio	3282000	34.1
1879	Oregon	6000	22.5
1879	Pennsylvania	1373000	33.4
1879	Rhodeisland	12000	31.4
1879	SouthCarolina	1303000	9
1879	Tennessee	2905000	21.6
1879	Texas	2469000	11.8
1879	Vermont	65000	36.5
1879	Virginia	1768000	16.5
1879	WestVirginia	566000	24.9
1879	Wisconsin	1015000	33.7
1880	Alabama	1830000	12
1880	Arkansas	1340000	21
1880	California	72000	32
1880	Colorado	24000	18.5
1880	Connecticut	56000	34.5
1880	Delaware	2e+05	20.8
1880	Florida	375000	9.5
1880	Georgia	2370000	9
1880	Illinois	8840000	31
1880	Indiana	3425000	25.5
1880	Iowa	6950000	39.5
1880	Kansas	3726000	29.5
1880	Kentucky	2960000	25
1880	Louisiana	770000	15.5
1880	Maine	31000	31
1880	Maryland	665000	24
1880	Massachusetts	54000	38
1880	Michigan	930000	37
1880	Minnesota	495000	31
1880	Mississippi	1550000	14.5
1880	Missouri	5650000	28.5
1880	Nebraska	1970000	31
1880	NewHampshire	37000	40.5
1880	NewJersey	347000	33.5
1880	NewYork	8e+05	32.5
1880	NorthCarolina	2260000	13.5
1880	Ohio	3150000	39
1880	Oregon	6000	22
1880	Pennsylvania	1370000	37.5
1880	Rhodeisland	12000	32
1880	SouthCarolina	1250000	9.5
1880	Tennessee	2790000	21.5
1880	Texas	2770000	25
1880	Vermont	67000	37
1880	Virginia	1810000	21
1880	WestVirginia	570000	24.5
1880	Wisconsin	1023000	37
1881	Alabama	2040000	11
1881	Arkansas	1390000	15
1881	California	71000	30
1881	Colorado	25000	16
1881	Connecticut	56000	30.5
1881	Delaware	2e+05	15
1881	Florida	360000	9
1881	Georgia	2280000	8
1881	Illinois	9100000	21
1881	Indiana	3450000	22
1881	Iowa	6530000	30
1881	Kansas	4200000	18
1881	Kentucky	2900000	17
1881	Louisiana	710000	12
1881	Maine	31000	32.5
1881	Maryland	652000	19
1881	Massachusetts	54000	32.5
1881	Michigan	980000	30.5
1881	Minnesota	560000	31
1881	Mississippi	1540000	11
1881	Missouri	5650000	16.5
1881	Nebraska	2150000	29.5
1881	NewHampshire	37000	38.5
1881	NewJersey	337000	27
1881	NewYork	770000	26.5
1881	NorthCarolina	2210000	9.5
1881	Ohio	3050000	31
1881	Oregon	6000	22
1881	Pennsylvania	1370000	26
1881	Rhodeisland	12000	28
1881	SouthCarolina	1230000	7
1881	Tennessee	2820000	15.5
1881	Texas	2780000	12
1881	Vermont	66000	39.5
1881	Virginia	1800000	15
1881	WestVirginia	555000	17
1881	Wisconsin	1054000	31.5
1882	Alabama	2300000	14
1882	Arizona	3000	21
1882	Arkansas	1500000	21.5
1882	California	72000	28
1882	Colorado	26000	18.5
1882	Connecticut	57000	24.5
1882	Delaware	2e+05	20
1882	Florida	390000	10
1882	Georgia	2560000	12.5
1882	Illinois	8800000	25
1882	Indiana	3350000	34
1882	Iowa	6740000	30.5
1882	Kansas	4662000	33.5
1882	Kentucky	3100000	27
1882	Louisiana	730000	15
1882	Maine	31000	28
1882	Maryland	670000	26
1882	Massachusetts	55000	27
1882	Michigan	1070000	35
1882	Minnesota	750000	27
1882	Mississippi	1630000	16
1882	Missouri	5760000	33.5
1882	Nebraska	2460000	38
1882	NewHampshire	37000	25.5
1882	NewJersey	344000	31
1882	NewMexico	34000	23.5
1882	NewYork	780000	28
1882	NorthCarolina	2280000	14
1882	NorthDakota	7000	25
1882	Ohio	3100000	34
1882	Oregon	6000	24
1882	Pennsylvania	1390000	32
1882	Rhodeisland	12000	26
1882	SouthCarolina	1325000	11
1882	SouthDakota	179000	25
1882	Tennessee	2990000	24
1882	Texas	3120000	23
1882	Utah	13000	21
1882	Vermont	68000	38.5
1882	Virginia	1870000	18.5
1882	Washington	4000	21.5
1882	WestVirginia	565000	23
1882	Wisconsin	1117000	33
1883	Alabama	2280000	11.5
1883	Arizona	3000	20
1883	Arkansas	1540000	18
1883	California	79000	29
1883	Colorado	26000	19
1883	Connecticut	56000	35.5
1883	Delaware	198000	19.5
1883	Florida	4e+05	9.5
1883	Georgia	2510000	8.5
1883	Illinois	9050000	27.3
1883	Indiana	3450000	29
1883	Iowa	7e+06	29
1883	Kansas	5129000	36.5
1883	Kentucky	3150000	23
1883	Louisiana	835000	14.5
1883	Maine	30000	32
1883	Maryland	670000	24.5
1883	Massachusetts	56000	35
1883	Michigan	1010000	24.5
1883	Minnesota	645000	21
1883	Mississippi	1640000	13
1883	Missouri	5880000	28
1883	Nebraska	2990000	37.5
1883	NewHampshire	38000	40
1883	NewJersey	347000	33
1883	NewMexico	34000	23
1883	NewYork	770000	23.5
1883	NorthCarolina	2300000	10
1883	NorthDakota	11000	20
1883	Ohio	3050000	26
1883	Oregon	7000	24
1883	Pennsylvania	1400000	28
1883	Rhodeisland	13000	33
1883	SouthCarolina	1320000	8
1883	SouthDakota	259000	20
1883	Tennessee	3075000	20.5
1883	Texas	3280000	20.5
1883	Utah	13000	21
1883	Vermont	71000	37.5
1883	Virginia	1870000	15
1883	Washington	5000	21
1883	WestVirginia	555000	21.5
1883	Wisconsin	1123000	21
1884	Alabama	2320000	13
1884	Arizona	3000	21
1884	Arkansas	1520000	18.5
1884	California	75000	35
1884	Colorado	28000	21
1884	Connecticut	56000	38
1884	Delaware	196000	20
1884	Florida	405000	9.5
1884	Georgia	2520000	10.5
1884	Illinois	8640000	33
1884	Indiana	3525000	31
1884	Iowa	7360000	39.5
1884	Kansas	4960000	37
1884	Kentucky	3120000	24
1884	Louisiana	755000	12.5
1884	Maine	28000	33
1884	Maryland	670000	23.5
1884	Massachusetts	55000	39
1884	Michigan	1060000	35.5
1884	Minnesota	660000	32
1884	Mississippi	1630000	13
1884	Missouri	6e+06	34
1884	Nebraska	3500000	41
1884	NewHampshire	39000	40
1884	NewJersey	344000	34
1884	NewMexico	35000	22
1884	NewYork	760000	32.5
1884	NorthCarolina	2325000	12.5
1884	NorthDakota	14000	30
1884	Ohio	3075000	33
1884	Oregon	8000	26.5
1884	Pennsylvania	1400000	33.5
1884	Rhodeisland	13000	30
1884	SouthCarolina	1360000	9
1884	SouthDakota	446000	30
1884	Tennessee	3100000	20.5
1884	Texas	3250000	19
1884	Utah	13000	17
1884	Vermont	73000	38.5
1884	Virginia	1870000	16.5
1884	Washington	6000	23.5
1884	WestVirginia	550000	18.5
1884	Wisconsin	1067000	36
1885	Alabama	2350000	13
1885	Arizona	3000	22
1885	Arkansas	1620000	20
1885	California	76000	25
1885	Colorado	32000	21
1885	Connecticut	57000	39
1885	Delaware	195000	21.5
1885	Florida	420000	9.5
1885	Georgia	2500000	11
1885	Illinois	8900000	34.5
1885	Indiana	3650000	36
1885	Iowa	7580000	36.5
1885	Kansas	5456000	32.5
1885	Kentucky	3280000	25
1885	Louisiana	790000	16
1885	Maine	29000	34
1885	Maryland	698000	24
1885	Massachusetts	54000	39
1885	Michigan	1070000	36
1885	Minnesota	720000	28
1885	Mississippi	1660000	14.5
1885	Missouri	6300000	31.5
1885	Nebraska	3910000	40
1885	NewHampshire	38000	43
1885	NewJersey	350000	34
1885	NewMexico	32000	23.5
1885	NewYork	740000	33
1885	NorthCarolina	2350000	11
1885	NorthDakota	16000	28.9
1885	Ohio	3275000	39
1885	Oregon	8000	22.5
1885	Pennsylvania	1420000	35
1885	Rhodeisland	13000	33
1885	SouthCarolina	1380000	10.5
1885	SouthDakota	509000	29
1885	Tennessee	3260000	21
1885	Texas	3350000	24
1885	Utah	14000	23.5
1885	Vermont	75000	40.5
1885	Virginia	1970000	17
1885	Washington	6000	23
1885	WestVirginia	610000	24
1885	Wisconsin	1088000	34
1886	Alabama	2390000	12.5
1886	Arizona	3000	22
1886	Arkansas	1680000	20.5
1886	California	76000	33
1886	Colorado	35000	20
1886	Connecticut	57000	36
1886	Delaware	194000	19
1886	Florida	440000	9.5
1886	Georgia	2510000	10.5
1886	Illinois	8900000	27.8
1886	Indiana	3650000	34
1886	Iowa	7960000	29
1886	Kansas	6301000	22
1886	Kentucky	3230000	25.5
1886	Louisiana	790000	15.5
1886	Maine	29000	32.5
1886	Maryland	691000	23.5
1886	Massachusetts	55000	40
1886	Michigan	1080000	33
1886	Minnesota	750000	31
1886	Mississippi	1650000	13
1886	Missouri	6480000	24
1886	Nebraska	4380000	31
1886	NewHampshire	38000	41
1886	NewJersey	347000	31.5
1886	NewMexico	33000	22.5
1886	NewYork	730000	32
1886	NorthCarolina	2400000	10.5
1886	NorthDakota	17000	21.5
1886	Ohio	3175000	34
1886	Oregon	9000	25.5
1886	Pennsylvania	1400000	32
1886	Rhodeisland	13000	31.5
1886	SouthCarolina	1335000	9
1886	SouthDakota	636000	21.5
1886	Tennessee	3230000	20.5
1886	Texas	3460000	18
1886	Utah	13000	20
1886	Vermont	77000	41
1886	Virginia	1950000	16.5
1886	Washington	7000	18
1886	WestVirginia	6e+05	23.5
1886	Wisconsin	1110000	29.5
1887	Alabama	2460000	13.5
1887	Arizona	3000	19
1887	Arkansas	1680000	20
1887	California	76000	30
1887	Colorado	40000	15
1887	Connecticut	57000	38.5
1887	Delaware	192000	22.5
1887	Florida	455000	9.5
1887	Georgia	2520000	10.5
1887	Illinois	8140000	21
1887	Indiana	3700000	22
1887	Iowa	8120000	30
1887	Kansas	5666000	14.5
1887	Kentucky	3210000	18.5
1887	Louisiana	825000	16
1887	Maine	30000	36
1887	Maryland	691000	27.5
1887	Massachusetts	55000	40.5
1887	Michigan	1100000	27.5
1887	Minnesota	820000	27
1887	Mississippi	1660000	15
1887	Missouri	6400000	23
1887	Nebraska	4740000	27.5
1887	NewHampshire	38000	41
1887	NewJersey	350000	35
1887	NewMexico	34000	21.5
1887	NewYork	730000	34.5
1887	NorthCarolina	2470000	13
1887	NorthDakota	15000	27
1887	Ohio	3200000	31
1887	Oregon	9000	26
1887	Pennsylvania	1420000	36
1887	Rhodeisland	13000	34
1887	SouthCarolina	1360000	10
1887	SouthDakota	611000	27
1887	Tennessee	3260000	20
1887	Texas	3470000	20
1887	Utah	13000	21.5
1887	Vermont	76000	43
1887	Virginia	1975000	18.5
1887	Washington	7000	22.5
1887	WestVirginia	585000	19.5
1887	Wisconsin	1020000	29.5
1888	Alabama	2490000	13.5
1888	Arizona	4000	20
1888	Arkansas	1740000	19
1888	California	75000	34
1888	Colorado	45000	18
1888	Connecticut	56000	37
1888	Delaware	194000	20.5
1888	Florida	465000	9.5
1888	Georgia	2520000	10
1888	Illinois	8630000	40
1888	Indiana	3850000	37
1888	Iowa	8440000	39.5
1888	Kansas	7566000	26.5
1888	Kentucky	3210000	26.5
1888	Louisiana	825000	14.5
1888	Maine	30000	21.5
1888	Maryland	712000	27
1888	Massachusetts	54000	36
1888	Michigan	1150000	34
1888	Minnesota	870000	28
1888	Mississippi	1690000	14
1888	Missouri	6540000	31
1888	Nebraska	5120000	38
1888	NewHampshire	38000	29
1888	NewJersey	350000	35
1888	NewMexico	34000	21
1888	NewYork	730000	31
1888	NorthCarolina	2470000	10.5
1888	NorthDakota	19000	25.5
1888	Ohio	3450000	38.5
1888	Oregon	11000	24
1888	Pennsylvania	1420000	35
1888	Rhodeisland	13000	33.5
1888	SouthCarolina	1355000	8
1888	SouthDakota	630000	25.5
1888	Tennessee	3290000	21
1888	Texas	3550000	24
1888	Utah	13000	20
1888	Vermont	75000	31.5
1888	Virginia	1960000	17.5
1888	Washington	8000	22
1888	WestVirginia	605000	24.5
1888	Wisconsin	1177000	34.5
1889	Alabama	2510000	14.1
1889	Arizona	4000	19.1
1889	Arkansas	1740000	20.6
1889	California	76000	33.9
1889	Colorado	53000	19.5
1889	Connecticut	56000	36.4
1889	Delaware	196000	17.7
1889	Florida	485000	9.8
1889	Georgia	2582000	11.3
1889	Illinois	8900000	36.8
1889	Indiana	3775000	30.4
1889	Iowa	8610000	41.3
1889	Kansas	7319000	35.5
1889	Kentucky	3120000	26.5
1889	Louisiana	838000	15.6
1889	Maine	28000	35
1889	Maryland	705000	25.4
1889	Massachusetts	53000	39.1
1889	Michigan	1090000	28.9
1889	Minnesota	925000	27.4
1889	Mississippi	1706000	15.3
1889	Missouri	6800000	32.4
1889	Nebraska	5480000	39.4
1889	NewHampshire	37000	41.6
1889	NewJersey	357000	32.3
1889	NewMexico	35000	20.4
1889	NewYork	725000	30.6
1889	NorthCarolina	2370000	10.9
1889	NorthDakota	30000	15
1889	Ohio	3350000	35.7
1889	Oregon	12000	19.7
1889	Pennsylvania	1400000	33.8
1889	Rhodeisland	13000	32.5
1889	SouthCarolina	1350000	10.2
1889	SouthDakota	786000	17.5
1889	Tennessee	3090000	22.8
1889	Texas	3200000	22.4
1889	Utah	13000	14.7
1889	Vermont	75000	40.7
1889	Virginia	1960000	17
1889	Washington	10000	16.5
1889	WestVirginia	6e+05	23.2
1889	Wisconsin	1190000	30.4
1889	Wyoming	2000	18
1890	Alabama	2490000	10.5
1890	Arizona	4000	19
1890	Arkansas	1670000	16.5
1890	California	77000	33
1890	Colorado	58000	18
1890	Connecticut	56000	37
1890	Delaware	196000	22.5
1890	Florida	490000	8.5
1890	Georgia	2610000	10.5
1890	Illinois	9300000	28
1890	Indiana	3875000	25
1890	Iowa	8790000	28
1890	Kansas	3807000	10.5
